state,names
CD4_act,HMGA1
CD4_act,UBE2L6
CD4_act,ICOS
CD4_act,TCEB1
CD4_act,AC016831.7
CD4_act,PHPT1
CD4_act,RPIA
CD4_act,EIF5B
CD4_act,UBE2N
CD4_act,IFNG
CD4_act,SMAP2
CD4_act,RP11-592N21.1
CD4_act,CHCHD2
CD4_act,PRELID1
CD4_act,AMD1
CD4_act,SNHG16
CD4_act,NPM3
CD4_act,FABP5
CD4_act,MRPL14
CD4_act,EBNA1BP2
CD4_act,PFDN2
CD4_act,APRT
CD4_act,H3F3B
CD4_act,MRPL52
CD4_act,GARS
CD4_act,POMP
CD4_act,PDCD5
CD4_act,SNRPF
CD4_act,SLC25A5
CD4_act,ETV6
CD4_act,BOLA3
CD4_act,C4orf32
CD4_act,PSMB3
CD4_act,PSMA7
CD4_act,CD74
CD4_act,TNFRSF18
CD4_act,IMPDH2
CD4_act,PDAP1
CD4_act,RBM8A
CD4_act,SEC11C
CD4_act,EPSTI1
CD4_act,RPLP0
CD8_rest,CCL5
CD8_rest,CYBA
CD8_rest,NKG7
CD8_rest,S100A4
CD8_rest,CST7
CD8_rest,CD52
CD8_rest,SH3BGRL3
CD8_rest,TMSB4XP4
CD8_rest,S100A6
CD8_rest,AC092580.4
CD8_rest,CD8B
CD8_rest,CD8A
CD8_rest,LYAR
CD8_rest,CELF2-AS2
CD8_rest,ANXA1
CD8_rest,S100A10
CD8_rest,MYO1F
CD8_rest,TRBC2
CD8_rest,GNLY
CD8_rest,LGALS1
CD8_rest,HLA-B
CD8_rest,HLA-A
CD8_rest,HCST
CD8_rest,KLRD1
CD8_rest,C12orf75
CD8_rest,GZMA
CD8_rest,LSP1
CD8_rest,RARRES3
CD8_rest,HLA-C
CD8_rest,CTSW
CD8_rest,EMP3
CD8_rest,PRF1
CD8_rest,TMSB4X
CD8_rest,MT-CYB
CD8_rest,MT-CO1
CD8_rest,KLF6
CD8_rest,IL32
CD8_rest,ALOX5AP
CD8_rest,GZMH
CD8_rest,HLA-DPB1
CD8_rest,CD3D
CD8_rest,ZFP36L2
CD8_rest,PTPRC
CD8_rest,MTCO1P12
CD8_rest,MT-CO2
CD8_rest,AMICA1
CD8_rest,ITM2B
CD8_rest,MTCO2P12
CD8_rest,MT-ND2
CD8_rest,MYL12A
CD8_rest,ARHGDIB
CD8_rest,CMC1
CD8_rest,CLEC2B
CD8_rest,MYL6
CD8_rest,HOPX
CD8_rest,RABAC1
CD8_rest,MT-ND4
CD8_rest,ANXA2
CD8_rest,MT-ATP6
CD8_rest,MT-ND1
CD8_rest,APOBEC3G
CD8_rest,TRGC2
CD8_rest,MT-ND3
CD8_rest,GZMK
CD8_rest,CD63
CD8_rest,S100A11
CD8_rest,CD2
CD8_rest,IL7R
CD8_rest,MT-CO3
CD8_rest,CHST12
CD8_rest,CD3G
CD8_rest,RPSAP9
CD8_rest,GZMM
CD8_rest,GZMB
CD8_rest,MT-ND5
CD8_rest,MYL12B
CD8_rest,CLIC1
CD8_rest,UBC
CD8_rest,FGFBP2
CD8_rest,NEAT1
CD8_rest,GAPDH
CD8_rest,CKLF
CD8_rest,YPEL3
CD8_rest,ARPC2
CD8_rest,AKNA
CD8_rest,CD3E
CD8_rest,SUN2
CD8_rest,SEPT7
CD8_rest,HLA-DPA1
CD8_rest,CLDND1
CD8_rest,LAPTM5
CD8_rest,SERF2
CD8_rest,MIAT
CD8_rest,NEDD9
CD8_rest,MT-RNR2
CD8_rest,LCK
CD8_rest,WIPF1
CD8_rest,HMGB1
CD8_rest,IL10RA
CD8_rest,AHNAK
CD8_rest,FTL
CD8_rest,LINC00869
CD8_rest,FYN
CD8_rest,APOBEC3C
CD8_rest,FLNA
CD8_rest,CXCR4
CD8_rest,CRIP1
CD8_rest,ARL4C
CD8_rest,PYHIN1
CD8_rest,TRBC1
CD8_rest,OAZ1
CD8_rest,PPP2R5C
CD8_rest,RPL36AL
CD8_rest,KLRB1
CD8_rest,VAMP8
CD8_rest,B2M
CD8_rest,MGST3
CD8_rest,FMNL1
CD8_rest,TSC22D3
CD8_rest,F2R
CD8_rest,LGALS3
CD8_rest,HLA-DRB1
CD8_rest,CXCR3
CD8_rest,TMA7
CD8_rest,KLRG1
CD8_rest,CCL4
CD8_rest,TUBA1A
CD8_rest,C9orf142
CD8_rest,CFL1
CD8_rest,MBP
CD8_rest,STOM
CD8_rest,CTSC
CD8_rest,IFI27L2
CD8_rest,RP4-706A16.3
CD8_rest,BLOC1S1
CD8_rest,UBL5
CD8_rest,ACAP1
CD8_rest,TMEM59
CD8_rest,PTPN22
CD8_rest,STK17A
CD8_rest,VAMP2
CD8_rest,IFITM2
CD8_rest,JUN
CD8_rest,GLIPR1
CD8_rest,PFN1
CD8_rest,CALM1
CD8_rest,VIM
CD8_rest,BIN2
CD8_rest,ZEB2
CD8_rest,TC2N
CD8_act,GZMB
CD8_act,NKG7
CD8_act,AC092580.4
CD8_act,CCL5
CD8_act,CCL4
CD8_act,CST7
CD8_act,LAG3
CD8_act,HOPX
CD8_act,PRF1
CD8_act,PTMS
CD8_act,CCL3
CD8_act,CD8A
CD8_act,SRGN
CD8_act,CD8B
CD8_act,GZMH
CD8_act,KLRD1
CD8_act,AC133644.2
CD8_act,IFNG
CD8_act,ID2
CD8_act,GNLY
CD8_act,PKM
CD8_act,NFKBIA
CD8_act,TXN
CD8_act,CD63
CD8_act,BATF3
CD8_act,SEC61G
CD8_act,SEC61B
CD8_act,MIR155HG
CD8_act,LINC00152
CD8_act,LGALS1
CD8_act,CLIC1
CD8_act,FKBP2
CD8_act,PGAM1
CD8_act,APOBEC3G
CD8_act,XCL2
CD8_act,SH2D2A
CD8_act,CMC1
CD8_act,BATF
CD8_act,GZMA
CD8_act,CCL4L2
CD8_act,POLR2L
CD8_act,BOLA2B
CD8_act,ARPC5L
CD8_act,SDF2L1
CD8_act,CYCS
CD8_act,IL32
