TF,target,weight,state
NFYA,ASH1L,0.028227538,CD4_act
NFYA,ZNF549,0.01181233,CD4_act
NFYA,ZSCAN29,0.02049096,CD4_act
NFYA,B2M,0.020433549,CD4_act
NFYA,ZNF232,0.044660397,CD4_act
NFYA,RPL39,0.010893122,CD4_act
NFYA,RPL41,0.011147122,CD4_act
NFYA,ZNF2,0.029634565,CD4_act
NFYA,ZNF8,0.02185214,CD4_act
MEOX1,ASH1L,0.025010627,CD4_act
MEOX1,B2M,0.022974638,CD4_act
MEOX1,ZNF232,0.05507462,CD4_act
MEOX1,ZNF2,0.023944225,CD4_act
MEOX1,ZNF8,0.025679195,CD4_act
SOX8,ASH1L,0.02892026,CD4_act
SOX8,B2M,0.013954455,CD4_act
SOX8,ZNF232,0.055050556,CD4_act
SOX8,RPS27,0.013036519,CD4_act
SOX8,RPL39,0.01776943,CD4_act
SOX8,RPL41,0.0155898575,CD4_act
SOX8,ZNF2,0.020581793,CD4_act
SOX8,ZNF8,0.030491555,CD4_act
ZNF195,ASH1L,0.027454307,CD4_act
ZNF195,ZSCAN29,0.022116497,CD4_act
ZNF195,RPL10,0.011353151,CD4_act
ZNF195,B2M,0.01775832,CD4_act
ZNF195,ZNF232,0.037146077,CD4_act
ZNF195,RPL39,0.013607755,CD4_act
ZNF195,RPL41,0.010262398,CD4_act
ZNF195,ZNF2,0.029820725,CD4_act
ZNF195,ZNF8,0.020732788,CD4_act
ZFX,ASH1L,0.02676133,CD4_act
ZFX,ZSCAN29,0.010474591,CD4_act
ZFX,B2M,0.015522231,CD4_act
ZFX,ZNF232,0.023714835,CD4_act
ZFX,RPL39,0.015851825,CD4_act
ZFX,ZNF2,0.026593762,CD4_act
ZNF263,ASH1L,0.028463934,CD4_act
ZNF263,ZSCAN29,0.02697247,CD4_act
ZNF263,B2M,0.021296125,CD4_act
ZNF263,ZNF232,0.041366573,CD4_act
ZNF263,ZNF2,0.029594531,CD4_act
ZNF263,ZNF8,0.013119881,CD4_act
PAX6,ASH1L,0.027010089,CD4_act
PAX6,RPL10,0.011376795,CD4_act
PAX6,ZNF232,0.04486752,CD4_act
PAX6,RPS27,0.020368345,CD4_act
PAX6,RPL39,0.025413783,CD4_act
PAX6,RPL41,0.019572785,CD4_act
PAX6,ZNF2,0.02364976,CD4_act
PAX6,ZNF8,0.014439816,CD4_act
TEAD3,ASH1L,0.02783771,CD4_act
TEAD3,RPL10,0.011720013,CD4_act
TEAD3,B2M,0.023952475,CD4_act
TEAD3,ZNF232,0.04488209,CD4_act
TEAD3,RPS27,0.012949939,CD4_act
TEAD3,RPL41,0.017340187,CD4_act
TEAD3,ZNF2,0.028565222,CD4_act
TEAD3,ZNF8,0.022016648,CD4_act
E2F2,ASH1L,0.024897818,CD4_act
E2F2,ZNF41,0.011265529,CD4_act
E2F2,B2M,0.027415626,CD4_act
E2F2,ZNF232,0.04238823,CD4_act
E2F2,RPL38,0.010332825,CD4_act
E2F2,RPS27,0.010263031,CD4_act
E2F2,RPL41,0.012557997,CD4_act
E2F2,ZNF2,0.020502232,CD4_act
E2F2,ZNF8,0.021332368,CD4_act
NFIX,ASH1L,0.029173862,CD4_act
NFIX,ZSCAN29,0.021597756,CD4_act
NFIX,B2M,0.0234824,CD4_act
NFIX,ZNF232,0.039660245,CD4_act
NFIX,RPL38,0.010442921,CD4_act
NFIX,RPL41,0.010665628,CD4_act
NFIX,ZNF2,0.032877192,CD4_act
ETV7,ASH1L,0.026218195,CD4_act
ETV7,ZNF232,0.041083574,CD4_act
ETV7,RPL39,0.02658434,CD4_act
ETV7,ZNF2,0.027526421,CD4_act
ETV7,ZNF8,0.023283983,CD4_act
ZNF207,ASH1L,0.029276678,CD4_act
ZNF207,ZSCAN29,0.017629942,CD4_act
ZNF207,RPL10,0.013182537,CD4_act
ZNF207,ZNF232,0.032237776,CD4_act
ZNF207,RPL39,0.02677864,CD4_act
ZNF207,ZNF2,0.030108035,CD4_act
ZNF200,ASH1L,0.027806537,CD4_act
ZNF200,ZNF549,0.0104775755,CD4_act
ZNF200,ZSCAN29,0.024283871,CD4_act
ZNF200,RPL10,0.010302061,CD4_act
ZNF200,B2M,0.023972215,CD4_act
ZNF200,ZNF232,0.053581662,CD4_act
ZNF200,RPL41,0.010156428,CD4_act
ZNF200,ZNF2,0.029384922,CD4_act
ZNF200,ZNF8,0.022725817,CD4_act
SCMH1,NCOA1,0.016116329,CD4_act
SCMH1,ASH1L,0.029316654,CD4_act
SCMH1,RPL10,0.011455355,CD4_act
SCMH1,B2M,0.027319485,CD4_act
SCMH1,ZNF232,0.032784384,CD4_act
SCMH1,RPS27,0.0108655,CD4_act
SCMH1,ZNF2,0.029474821,CD4_act
HIVEP2,NCOA1,0.014535326,CD4_act
HIVEP2,ASH1L,0.029888688,CD4_act
HIVEP2,B2M,0.0156963,CD4_act
HIVEP2,ZNF232,0.037599456,CD4_act
HIVEP2,RPL39,0.015737845,CD4_act
HIVEP2,ZNF2,0.0338817,CD4_act
HIVEP2,ZNF8,0.02145189,CD4_act
AKAP8L,NCOA1,0.0116780335,CD4_act
AKAP8L,ASH1L,0.029344993,CD4_act
AKAP8L,ZSCAN29,0.012567375,CD4_act
AKAP8L,B2M,0.015936753,CD4_act
AKAP8L,ZNF232,0.04529408,CD4_act
AKAP8L,RPS27,0.010388928,CD4_act
AKAP8L,RPL39,0.017060073,CD4_act
AKAP8L,RPL41,0.013818173,CD4_act
AKAP8L,ZNF2,0.020600073,CD4_act
AKAP8L,ZNF8,0.019854024,CD4_act
WIZ,ASH1L,0.01316996,CD4_act
WIZ,ZNF549,0.010366325,CD4_act
WIZ,ZSCAN29,0.025283575,CD4_act
WIZ,RPL10,0.011067707,CD4_act
WIZ,B2M,0.022824686,CD4_act
WIZ,ZNF232,0.038024507,CD4_act
WIZ,ZNF2,0.029521883,CD4_act
ZBTB32,ASH1L,0.025541482,CD4_act
ZBTB32,RPL10,0.012340369,CD4_act
ZBTB32,B2M,0.021256918,CD4_act
ZBTB32,ZNF232,0.05641232,CD4_act
ZBTB32,RPL39,0.010260983,CD4_act
ZBTB32,ZNF2,0.024037458,CD4_act
ZBTB32,ZNF8,0.0212932,CD4_act
LTF,ZNF232,0.032945134,CD4_act
