TF,target,weight,state
NFYA,ASH1L,0.019260516,CD4_rest
NFYA,ZSCAN29,0.020794082,CD4_rest
NFYA,CEBPG,0.011975277,CD4_rest
NFYA,ZNF768,0.022065394,CD4_rest
NFYA,ZNF732,0.039742965,CD4_rest
NFYA,RPL39,0.024518752,CD4_rest
NFYA,RPL41,0.010980694,CD4_rest
NFYA,ZBED9,0.023091352,CD4_rest
NFYA,CCL4,0.014664901,CD4_rest
NFYA,ZNF8,0.012400649,CD4_rest
MEOX1,ASH1L,0.018591544,CD4_rest
MEOX1,CEBPG,0.011090704,CD4_rest
MEOX1,B2M,0.010880417,CD4_rest
MEOX1,ZNF232,0.017465869,CD4_rest
MEOX1,ZNF768,0.028195199,CD4_rest
MEOX1,ZNF732,0.017661517,CD4_rest
MEOX1,RPL39,0.020364672,CD4_rest
MEOX1,ZBED9,0.025023885,CD4_rest
MEOX1,CCL4,0.03175345,CD4_rest
ZNF195,ASH1L,0.018008957,CD4_rest
ZNF195,ZSCAN29,0.023428043,CD4_rest
ZNF195,ZNF41,0.010447638,CD4_rest
ZNF195,RPL10,0.012080707,CD4_rest
ZNF195,CEBPG,0.013298191,CD4_rest
ZNF195,ZNF768,0.016474906,CD4_rest
ZNF195,ZNF732,0.03881458,CD4_rest
ZNF195,RPL39,0.025447536,CD4_rest
ZNF195,RPL41,0.010432248,CD4_rest
ZNF195,ZBED9,0.022925882,CD4_rest
ZNF195,CCL4,0.028099382,CD4_rest
ZFX,ASH1L,0.018412745,CD4_rest
ZFX,CEBPG,0.012755241,CD4_rest
ZFX,ZNF768,0.03419894,CD4_rest
ZFX,ZNF732,0.039160863,CD4_rest
ZFX,RPL39,0.027077114,CD4_rest
ZFX,ZBED9,0.021590002,CD4_rest
ZFX,CCL4,0.017239057,CD4_rest
ZNF263,ASH1L,0.020828754,CD4_rest
ZNF263,ZSCAN29,0.02657461,CD4_rest
ZNF263,ZNF41,0.013397934,CD4_rest
ZNF263,CEBPG,0.010524998,CD4_rest
ZNF263,ZNF768,0.020059977,CD4_rest
ZNF263,ZNF732,0.0317716,CD4_rest
ZNF263,RPL39,0.021290166,CD4_rest
ZNF263,ZBED9,0.023117214,CD4_rest
GTF2IRD1,NCOA1,0.016861795,CD4_rest
GTF2IRD1,ASH1L,0.022578897,CD4_rest
GTF2IRD1,RPL10,0.010086173,CD4_rest
GTF2IRD1,ZNF768,0.04507914,CD4_rest
GTF2IRD1,RPS27,0.0118525885,CD4_rest
GTF2IRD1,ZNF732,0.029702846,CD4_rest
GTF2IRD1,RPL39,0.025894292,CD4_rest
GTF2IRD1,RPL41,0.011843312,CD4_rest
GTF2IRD1,ZBED9,0.023435144,CD4_rest
GTF2IRD1,CCL4,0.010330912,CD4_rest
MLXIPL,ASH1L,0.02010673,CD4_rest
MLXIPL,CEBPG,0.0111154765,CD4_rest
MLXIPL,ZNF232,0.010096872,CD4_rest
MLXIPL,ZNF768,0.04582239,CD4_rest
MLXIPL,RPS27,0.014385138,CD4_rest
MLXIPL,ZNF732,0.03284636,CD4_rest
MLXIPL,RPL39,0.03074517,CD4_rest
MLXIPL,RPL41,0.010521255,CD4_rest
MLXIPL,ZBED9,0.023904664,CD4_rest
MLXIPL,CCL4,0.018227158,CD4_rest
MLXIPL,ZNF8,0.016018277,CD4_rest
ETV7,ASH1L,0.019444615,CD4_rest
ETV7,ZNF41,0.03032507,CD4_rest
ETV7,CEBPG,0.011022935,CD4_rest
ETV7,ZNF768,0.033285692,CD4_rest
ETV7,ZNF732,0.044053666,CD4_rest
ETV7,RPL39,0.03024119,CD4_rest
ETV7,ZBED9,0.022912461,CD4_rest
ETV7,CCL4,0.01083722,CD4_rest
ZNF207,ASH1L,0.018715244,CD4_rest
ZNF207,ZSCAN29,0.015567097,CD4_rest
ZNF207,RPL10,0.014156537,CD4_rest
ZNF207,CEBPG,0.012874451,CD4_rest
ZNF207,ZNF768,0.023955813,CD4_rest
