source,target,predicted_log2FC,predicted_direction,abs_predicted_log2FC,method,state,embedding_mode,k,metric
SOX8,H1-5,-0.5649227604396236,down,0.5649227604396236,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
SOX8,H2BC9,-0.6163061357698826,down,0.6163061357698826,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
SOX8,H4C3,-0.5923437171118539,down,0.5923437171118539,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
SOX8,RRM2,-0.5297337166347583,down,0.5297337166347583,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
SOX8,TUBA1C,-0.5468856393282637,down,0.5468856393282637,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
TCF4,H2BC9,-0.5222992871297479,down,0.5222992871297479,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
TCF4,H4C3,-0.5031633817078419,down,0.5031633817078419,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
TFCP2,MT1G,0.5918886912800883,up,0.5918886912800883,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
TFCP2,MT1H,0.7764122032069908,up,0.7764122032069908,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
TFCP2,SPP1,0.5683161874713726,up,0.5683161874713726,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
TP53,GNLY,-0.565572394312959,down,0.565572394312959,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
TP53,PMCH,0.572504987142817,up,0.572504987142817,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
UBP1,ELAPOR1,0.5168274053108194,up,0.5168274053108194,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
VDR,ADAMTS1,-0.7741745992576561,down,0.7741745992576561,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
VDR,CCR5,-0.5232543164172607,down,0.5232543164172607,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
VDR,GNLY,-0.661478062453708,down,0.661478062453708,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
VDR,LYZ,-0.5198636394781363,down,0.5198636394781363,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
VDR,RTKN2,-0.6671745542306414,down,0.6671745542306414,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBED2,IL22,0.7824706545092636,up,0.7824706545092636,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBED2,IL26,0.6070907735995433,up,0.6070907735995433,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBED2,KLRB1,0.6639912431570401,up,0.6639912431570401,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBED2,LTK,0.7515325440414184,up,0.7515325440414184,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBED2,PTPN13,0.5408877996962106,up,0.5408877996962106,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBED2,STON1,0.5113667469173032,up,0.5113667469173032,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB17,CXXC5,0.5909248442391346,up,0.5909248442391346,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB17,FXYD2,0.699301661807462,up,0.699301661807462,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB17,GZMH,0.6369757049609178,up,0.6369757049609178,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB17,GZMK,0.6768154506971266,up,0.6768154506971266,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB17,RTKN2,0.5155405258538901,up,0.5155405258538901,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB18,CLU,-0.5505700164298529,down,0.5505700164298529,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB18,GNLY,-0.510903625588504,down,0.510903625588504,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB18,NRP2,0.5264613579310468,up,0.5264613579310468,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZBTB18,PCSK6,0.7414405440099491,up,0.7414405440099491,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZFP91,KLRB1,0.519445608636924,up,0.519445608636924,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF226,PMCH,0.7125678429123116,up,0.7125678429123116,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF326,PCSK6,0.6444763497154247,up,0.6444763497154247,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF37A,PTGIS,0.6902429575963439,up,0.6902429575963439,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF429,GNLY,-0.6475453820239092,down,0.6475453820239092,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF48,MGLL,0.5187432973098285,up,0.5187432973098285,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF501,ADAMTS1,-0.6130626257850598,down,0.6130626257850598,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF501,AKR1C3,-0.57981393408657,down,0.57981393408657,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF501,GNLY,-0.8868326980939656,down,0.8868326980939656,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF501,LYZ,-0.6029006634663682,down,0.6029006634663682,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF501,RTKN2,-0.7737413253162302,down,0.7737413253162302,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF524,TTBK1,0.5557062401788782,up,0.5557062401788782,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF544,CTHRC1,0.5021164487279131,up,0.5021164487279131,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF544,LHFPL6,0.6112331045993755,up,0.6112331045993755,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF544,PMCH,0.6123382760574703,up,0.6123382760574703,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF544,SPP1,0.7763539965329342,up,0.7763539965329342,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF580,FCMR,-0.5738644431087008,down,0.5738644431087008,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF580,LYZ,-0.6342592537776192,down,0.6342592537776192,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF639,HMOX1,0.602703373155406,up,0.602703373155406,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF84,LYZ,-0.8464768932677902,down,0.8464768932677902,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF84,PMCH,0.566858729471535,up,0.566858729471535,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ZNF879,GNLY,-0.5522904433898411,down,0.5522904433898411,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
