model,median_pearson,q25_pearson,q75_pearson,median_spearman,median_l2_mse,n_tfs
Train Mean,0.012603943908754172,0.0010976247518164554,0.051716650879261424,0.011859452641505683,0.0013172499054995264,409
kNN k=25 cosine,0.003950306251481032,-5.240737726782526e-05,0.0626093369479214,0.013100493699006427,0.0015887232713863927,409
kNN k=10 cosine,0.0009394331962064903,-0.00016244478431733057,0.04612192278553249,0.0017001077887736284,0.002034074782672201,409
kNN k=5 cosine,0.00038634519329533017,-0.00019077055608122262,0.028708688507914925,0.00046122179749747365,0.002462769243781104,409
No Change,,,,,0.0012843466821078862,409
