candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
CREM,8,THAP3,0.5774007124310654,0.4225992875689346
CREM,9,ERF,0.5795731873748879,0.42042681262511206
CREM,10,PURA,0.5904815026025956,0.4095184973974044
DBP,1,RXRB,0.3122160523325299,0.6877839476674701
DBP,2,ZSCAN21,0.3748227553225648,0.6251772446774352
DBP,3,POU2F2,0.39563798933333716,0.6043620106666628
DBP,4,ZNF770,0.4287162850598333,0.5712837149401667
DBP,5,ZIK1,0.4391941210129081,0.5608058789870919
DBP,6,ZNF133,0.4720199570874418,0.5279800429125582
DBP,7,REL,0.49162893691160225,0.5083710630883977
DBP,8,SRF,0.4940541306238051,0.5059458693761949
DBP,9,ZFP82,0.49730944181203496,0.502690558187965
DBP,10,SMYD3,0.5006534574730677,0.49934654252693234
DRAP1,1,MTERF2,0.24582938165560364,0.7541706183443964
DRAP1,2,ZNF549,0.2865190117869413,0.7134809882130587
DRAP1,3,ZNF512B,0.29946800304015286,0.7005319969598471
DRAP1,4,ZNF18,0.3021333559371664,0.6978666440628336
DRAP1,5,NPAS2,0.30644644922023423,0.6935535507797658
DRAP1,6,SP140L,0.3081534552638068,0.6918465447361932
DRAP1,7,ZNF486,0.3101151802757963,0.6898848197242037
DRAP1,8,THRA,0.3123232985308274,0.6876767014691726
DRAP1,9,ZNF394,0.3240342787403455,0.6759657212596545
DRAP1,10,NFAT5,0.3354395674217644,0.6645604325782356
E2F4,1,SP100,0.3615693867745463,0.6384306132254537
E2F4,2,NAIF1,0.3857141428896983,0.6142858571103017
E2F4,3,SRF,0.3923634797575497,0.6076365202424503
E2F4,4,THRA,0.3999053815252578,0.6000946184747422
E2F4,5,ZBED1,0.4084689571893594,0.5915310428106406
E2F4,6,ZBED5,0.41614376983573176,0.5838562301642682
E2F4,7,MSANTD3,0.42007283385773087,0.5799271661422691
E2F4,8,AHRR,0.42983330562090294,0.5701666943790971
E2F4,9,ZNF148,0.43042458646200843,0.5695754135379916
E2F4,10,MYC,0.43254017754933716,0.5674598224506628
EGR1,1,ZBTB22,0.3328602755167108,0.6671397244832892
EGR1,2,ZNF623,0.5113637906798145,0.4886362093201855
EGR1,3,STAT5A,0.5134979199239289,0.4865020800760711
EGR1,4,ZNF562,0.5161770594584172,0.4838229405415828
EGR1,5,THAP3,0.5211452299664293,0.4788547700335707
EGR1,6,ZNF684,0.5285942324638302,0.4714057675361698
EGR1,7,E2F8,0.5467835018995182,0.4532164981004818
EGR1,8,ARID5A,0.5558168245716902,0.44418317542830976
EGR1,9,GPBP1,0.5648639846505059,0.4351360153494941
EGR1,10,GABPA,0.5702507785479253,0.4297492214520747
EGR2,1,ZNF398,0.1609105814549764,0.8390894185450236
EGR2,2,ZHX3,0.20715607911062117,0.7928439208893788
EGR2,3,FBXL19,0.21703756146411557,0.7829624385358844
EGR2,4,PRMT3,0.21806465986917656,0.7819353401308234
EGR2,5,ZNF260,0.21906938926868702,0.780930610731313
EGR2,6,ZNF776,0.2226194674524845,0.7773805325475155
EGR2,7,ZNF35,0.22647927945457025,0.7735207205454298
EGR2,8,NFE2L1,0.22852256948892868,0.7714774305110713
EGR2,9,POGK,0.2300652591168162,0.7699347408831838
EGR2,10,NR4A1,0.2480961695992867,0.7519038304007133
EGR3,1,ZNF470,0.14100167162526145,0.8589983283747386
EGR3,2,TCFL5,0.29075893654205975,0.7092410634579402
EGR3,3,FOXP3,0.3101483400010011,0.6898516599989989
EGR3,4,MYNN,0.3124978100257334,0.6875021899742666
