source_TF,target_gene,log2FC,culture_condition,evidence
CENPT,HMOX1,0.5395837560151888,Stim8hr,kNN_predicted
CENPX,IL5,-1.114861258073139,Stim8hr,kNN_predicted
CENPX,MGLL,0.5481373459223179,Stim8hr,kNN_predicted
CHCHD3,CD8A,0.5621685946188016,Stim8hr,kNN_predicted
CHCHD3,FXYD2,0.6333838649436766,Stim8hr,kNN_predicted
CHCHD3,IL17F,1.4705973751526695,Stim8hr,kNN_predicted
CPEB1,CCL1,-0.5595340861380261,Stim8hr,kNN_predicted
CPEB1,CCL4,-0.612598020665887,Stim8hr,kNN_predicted
CPXCR1,CLCF1,0.5118102015874874,Stim8hr,kNN_predicted
CREB3,IL22,-1.0477084715942626,Stim8hr,kNN_predicted
CREB3L1,IL5,-0.5153532763814439,Stim8hr,kNN_predicted
CREB3L2,CCR3,0.5032017293095274,Stim8hr,kNN_predicted
CREB3L4,CD8A,0.5627590390021515,Stim8hr,kNN_predicted
CREB5,IL5,-0.5019896289988213,Stim8hr,kNN_predicted
CREM,CD93,0.5442346320022359,Stim8hr,kNN_predicted
CREM,FCER1G,0.5360625162953938,Stim8hr,kNN_predicted
CREM,FCGBP,0.8012508217304596,Stim8hr,kNN_predicted
CREM,GNLY,0.6359919049570827,Stim8hr,kNN_predicted
CREM,IL10,-0.5372394558598045,Stim8hr,kNN_predicted
CREM,IL22,-0.5489300064100007,Stim8hr,kNN_predicted
CREM,ODAPH,0.5786110646047209,Stim8hr,kNN_predicted
CREM,TEX29,0.6401364436915238,Stim8hr,kNN_predicted
CRX,IGSF3,0.5517644606805057,Stim8hr,kNN_predicted
CSRNP1,IL17RB,1.2425385832749005,Stim8hr,kNN_predicted
CSRNP1,SYCE3,0.6248326395745832,Stim8hr,kNN_predicted
CSRNP3,BAIAP2L1,0.5419532941689278,Stim8hr,kNN_predicted
CSRNP3,IL6,0.5120914459593262,Stim8hr,kNN_predicted
CSRNP3,LSR,0.5765057490230154,Stim8hr,kNN_predicted
CTCF,CCR1,0.6173991689872624,Stim8hr,kNN_predicted
CTCFL,CD8A,0.5356134850594264,Stim8hr,kNN_predicted
CTCFL,IL17RB,1.4152254579799852,Stim8hr,kNN_predicted
CTCFL,PLK2,0.5105552237227527,Stim8hr,kNN_predicted
CUX2,CD93,0.5228470499817639,Stim8hr,kNN_predicted
CUX2,FCER1G,0.51499608582369,Stim8hr,kNN_predicted
CUX2,FCGBP,0.525256610175991,Stim8hr,kNN_predicted
CUX2,ODAPH,0.5558725417792656,Stim8hr,kNN_predicted
CUX2,S100P,0.6048923430363499,Stim8hr,kNN_predicted
CUX2,TEX29,0.61498006831832,Stim8hr,kNN_predicted
DACH1,CHDH,0.5468337072730768,Stim8hr,kNN_predicted
DACH1,IL17F,1.3729718535885116,Stim8hr,kNN_predicted
DACH1,MAP2K6,0.573432526349031,Stim8hr,kNN_predicted
DBP,IL22,-0.5013782870655229,Stim8hr,kNN_predicted
DBX1,HMOX1,0.5244343899047341,Stim8hr,kNN_predicted
DDIT3,IL17RB,1.2793914119715522,Stim8hr,kNN_predicted
DDIT3,IL5,-0.6445226638579704,Stim8hr,kNN_predicted
DDIT3,PTGS2,0.5289354097816018,Stim8hr,kNN_predicted
DDIT3,ZNF347,0.5284806584867251,Stim8hr,kNN_predicted
DDIT3,ZNF844,0.6110368759377415,Stim8hr,kNN_predicted
DDIT3,ZSCAN18,0.6397924255708686,Stim8hr,kNN_predicted
DLX2,CD8A,0.5485854919876245,Stim8hr,kNN_predicted
DLX4,IGSF3,0.5407613606024441,Stim8hr,kNN_predicted
DLX5,IL22,-0.5799919525109317,Stim8hr,kNN_predicted
