tf,target,importance
ATF4,AAR2,0.0696229492727934
ATF4,AATF,0.1271501999040793
ATF4,ABI1,0.0918667592105902
ATF4,ACTB,0.2657264696374598
ATF4,ADARB1,0.1995157036306774
ATF4,ADGRF5,0.3847174302185343
ATF4,ADIPOR2,0.0819274703732637
ATF4,ADM2,0.4978729293771304
ATF4,ADO,0.2169313646448661
ATF4,AEN,0.2583760373703818
ATF4,AFF4,0.0916517830412809
ATF4,AHR,0.7832846522420077
ATF4,AKAP11,0.858485062529059
ATF4,AKIRIN1,0.2504821889963017
ATF4,AKIRIN2,0.0770849316059956
ATF4,ALKBH3,0.1870019638415507
ATF4,AMMECR1,0.4348463524575002
ATF4,AMZ2,0.209732003080955
ATF4,ANK3,0.3256034876650199
ATF4,ANKRD11,0.93864575318056
ATF4,ANKRD13A,0.0920602062619923
ATF4,ANKRD28,0.157081822799058
ATF4,ANO6,0.108138603415992
ATF4,ANP32A,0.0087429583209565
ATF4,ANXA1,0.0389459110626243
ATF4,AP2B1,0.0878345560765109
ATF4,AP5M1,0.3859651906076157
ATF4,APBB1IP,0.9589147943280844
ATF4,ARF3,0.244874398072055
ATF4,ARHGDIA,0.0334286075010822
ATF4,ARID5A,0.0208854341881517
ATF4,ARL6IP1,0.0875221261928328
ATF4,ARMC10,0.1862358545973312
ATF4,ARPC5L,0.0108555396374249
ATF4,ASB6,0.1927993660162433
ATF4,ASRGL1,0.5034691522619713
ATF4,ASXL2,0.3353836158016074
ATF4,ATF3,0.3839677954916382
ATF4,ATF7IP,0.1793362063152181
ATF4,ATG101,0.0570877170339371
ATF4,ATG16L1,0.1727993518192588
ATF4,ATP5H,0.0078907666845089
ATF4,ATP5J,0.011287285000785
ATF4,ATP6V1D,0.0671964339301868
ATF4,ATP6V1E1,0.1246989054605316
ATF4,ATP7A,0.6118970718608329
ATF4,ATXN2,0.2610421560258004
ATF4,ATXN2L,0.4571645178992229
ATF4,AURKAIP1,0.0219864573091287
ATF4,AXIN1,0.1071444700088749
ATF4,BANP,0.0827963670228286
ATF4,BAX,0.4234085457555687
ATF4,BAZ1B,0.0529266484272468
ATF4,BBIP1,0.1169145214604858
ATF4,BCAS1,0.9841925741217888
ATF4,BCDIN3D,0.1680813632431116
ATF4,BCKDHB,0.6912998145718912
ATF4,BCLAF1,0.2294514643523074
ATF4,BFAR,0.5806108540529917
ATF4,BLCAP,0.0782368832868565
ATF4,BOD1L1,0.6046814600610686
ATF4,BPIFB1,1.309394637753832
ATF4,BUD31,0.0727641641593588
ATF4,C11orf24,0.2133869038481786
ATF4,C11orf73,0.1583455400334308
ATF4,C14orf119,0.2745565016917381
ATF4,C16orf74,0.0194791666164391
ATF4,C16orf91,0.0665306819957656
ATF4,C19orf52,0.837325157264835
ATF4,C1orf122,0.0813256351127741
ATF4,C1orf52,0.0263809604781041
ATF4,C20orf27,0.0097731725707402
ATF4,C2orf49,0.4333659274960123
ATF4,C2orf76,0.2312575761363747
ATF4,C6orf89,0.070570886539424
ATF4,CALU,0.274771820954129
ATF4,CAND1,0.283203749763835
ATF4,CANX,0.0220534098734184
ATF4,CAP1,0.0436615351440524
ATF4,CARS,2.173569979287263
ATF4,CBLB,0.0722705641946437
ATF4,CCAR2,0.1071331096703843
ATF4,CCDC174,0.2545061863073287
ATF4,CCDC47,0.1065183928060384
ATF4,CCDC9,0.6842316700823855
ATF4,CCDC97,0.220761026147045
ATF4,CCND2-AS1,1.33877134761373
ATF4,CCNK,0.7349292305632344
ATF4,CCSER2,0.1849300082296867
ATF4,CCZ1,0.7720477356725489
ATF4,CD180,0.4490507653652946
ATF4,CD2BP2,0.0643382444955411
ATF4,CDK13,0.1680969093241612
ATF4,CDK17,0.1040252733054308
ATF4,CEBPB,2.278974071071482
ATF4,CEBPG,0.5060288770461192
ATF4,CEP41,0.6707042106280159
ATF4,CEP95,0.2361748867518168
ATF4,CHAC1,1.9736900666205788
ATF4,CHCHD2,0.2422601138533655
ATF4,CHCHD5,0.2756768679954718
ATF4,CHD1,0.1776602357472835
ATF4,CHD1L,0.4340590538089138
ATF4,CHD2,0.2846007836686794
ATF4,CHD4,0.0687764134555141
ATF4,CHD8,0.4470010909364975
ATF4,CHMP4A,0.5787169774743149
ATF4,CHMP4B,0.0328300426190439
ATF4,CHRM3-AS2,0.9391332817291814
ATF4,CHUK,0.0637940402659157
ATF4,CIB1,0.0580332285857794
ATF4,CIRBP,0.0658641647633474
ATF4,CLDN5,6.23180996654814e-08
ATF4,CLK4,0.3243674969864381
ATF4,COA6,0.0303364327469008
ATF4,COG2,0.0723022356756734
ATF4,COPB1,0.0915487419900212
ATF4,CORO1A,0.0230844987177309
ATF4,COX14,0.0756658813785361
ATF4,COX6A1,0.0138680549789945
ATF4,COX7A2L,0.0886079338072695
ATF4,CPSF3L,0.0646009663576154
ATF4,CPSF7,0.0894684360275081
ATF4,CRK,0.1481920963470805
ATF4,CSNK1A1,0.0417559329989811
ATF4,CSNK2A1,0.0306451297994976
ATF4,CTDNEP1,0.0449096729374593
ATF4,CWC15,0.0969789046327633
ATF4,CYSTM1,0.0891602592909161
ATF4,CYTIP,0.0360471368513629
ATF4,DAD1,0.1132294174230727
ATF4,DAPK3,0.1436473056415164
ATF4,DCAF7,0.076326283893734
ATF4,DCP2,0.1053991206660027
ATF4,DCTN3,0.4176642515725374
ATF4,DDHD1,0.5160751831860361
ATF4,DDOST,0.0972387424888669
ATF4,DDT,0.0199865190309869
ATF4,DDX21,0.0197285520365827
ATF4,DDX39B,0.177170990374932
ATF4,DDX5,0.0986511198893359
ATF4,DEK,0.4261907244890404
ATF4,DGUOK,0.0292838940149139
ATF4,DHX30,0.033435820310706
ATF4,DHX36,0.3300824620539114
ATF4,DISC1,0.1474345216440313
ATF4,DNAJA1,0.0288851226238549
ATF4,DNAJC7,0.0178913502867364
ATF4,DNTTIP2,0.1133354366609699
ATF4,DPH2,0.0552507987564215
ATF4,DPM2,0.0587390957517912
ATF4,DPPA4,0.6688306392618775
ATF4,DR1,0.5380404531446311
ATF4,DTX2P1-UPK3BP1-PMS2P11,0.1608640755440926
ATF4,DUSP6,0.1354506411548318
ATF4,EAF1,1.0589882859672262
ATF4,EBLN3,0.1308785989787264
ATF4,ECEL1,0.1296532337689979
ATF4,EDEM2,0.2055444441395356
ATF4,EDN1,0.9506183683028128
ATF4,EIF1,1.0146604455700612
ATF4,EIF2A,0.0178488528063462
ATF4,EIF2S2,1.233345384192892
ATF4,EIF3J,0.0094295749772882
ATF4,EIF3L,0.1945731392595289
ATF4,EIF4A1,0.1309130345022096
ATF4,EIF4EBP1,1.1004429464321448
ATF4,EIF4G1,0.019478827869166
ATF4,EIF5A2,0.0648673818724126
ATF4,EIF6,0.068351202216005
ATF4,ELF1,1.256165418509516
ATF4,ELF4,0.3415537160691138
ATF4,ELOVL5,0.2023192593237236
ATF4,ELP5,0.045350690201188
ATF4,ENOSF1,0.2604072255116497
ATF4,EPC1,0.5084043025741162
ATF4,ERCC1,0.0314905813333909
ATF4,ERI2,0.5401364630905305
ATF4,ESYT2,0.4683637207615966
ATF4,EXOC3,0.1130026726812945
ATF4,EXOSC3,0.0390779327998107
ATF4,EXOSC4,0.0206419503679534
ATF4,EXTL2,0.1064675164122547
ATF4,EZH2,0.1631151328288136
ATF4,FAM107B,0.0740720895236709
ATF4,FAM188A,0.1312768814725634
ATF4,FAM60A,0.0363553629792676
ATF4,FAM96A,0.0322746564467682
ATF4,FAR1,0.0925561803642666
ATF4,FBXL3,0.0834331515384523
ATF4,FBXO34,0.0818365368122551
ATF4,FDFT1,0.0236591024264829
ATF4,FIS1,0.0212278583296116
ATF4,FLOT1,0.0582294262713438
ATF4,FOS,0.6031452692711416
