,ARID3A(+),ARNTL(+),ATF1(+),ATF2(+),ATF3(+),ATF4(+),ATF5(+),ATF6(+),ATF6B(+),BACH1(+),BACH2(+),BATF(+),BATF3(+),BCL11A(+),BCLAF1(+),BPTF(+),BRF1(+),BRF2(+),CEBPA(+),CEBPB(+),CEBPD(+),CEBPZ(+),CHD2(+),CLOCK(+),CREB3(+),CREB3L2(+),CREB5(+),CREM(+),CRX(+),CTCF(+),CUX1(+),DDIT3(+),DNMT3A(+),E2F1(+),E2F3(+),E2F4(+),E2F6(+),EGR1(+),EGR2(+),EGR3(+),EGR4(+),ELF1(+),ELF2(+),ELF4(+),ELK1(+),ELK3(+),EOMES(+),EP300(+),ERF(+),ESR2(+),ETS1(+),ETS2(+),ETV2(+),ETV5(+),ETV6(+),ETV7(+),EZH2(+),FOS(+),FOSB(+),FOSL1(+),FOSL2(+),FOXB1(+),FOXC1(+),FOXJ1(+),FOXJ3(+),FOXN2(+),FOXO1(+),FOXO3(+),FOXO4(+),FOXP3(+),GABPA(+),GATA1(+),GATA2(+),GATA3(+),GFI1B(+),GMEB1(+),GTF2F1(+),HCFC1(+),HDAC2(+),HES6(+),HEY1(+),HIC1(+),HINFP(+),HIVEP3(+),HLF(+),HMBOX1(+),HMGB2(+),HOXA10(+),HOXB2(+),HSF1(+),IKZF2(+),IRF1(+),IRF2(+),IRF3(+),IRF4(+),IRF5(+),IRF7(+),IRF8(+),JUN(+),JUNB(+),JUND(+),KDM4B(+),KDM5A(+),KLF1(+),KLF10(+),KLF12(+),KLF13(+),KLF2(+),KLF3(+),KLF4(+),KLF5(+),KLF6(+),KLF9(+),LEF1(+),LMO2(+),MAF(+),MAFB(+),MAFF(+),MAFG(+),MAFK(+),MAX(+),MAZ(+),MEF2A(+),MEF2C(+),MEF2D(+),MEOX1(+),MLX(+),MXD3(+),MYBL1(+),MYC(+),MYEF2(+),NFE2L1(+),NFIB(+),NFIC(+),NFIL3(+),NFKB1(+),NFKB2(+),NFYA(+),NFYB(+),NFYC(+),NPDC1(+),NR1D2(+),NR1H3(+),NR2C2(+),NRF1(+),PAX5(+),PHF8(+),PITX1(+),PKNOX1(+),PML(+),POLR2A(+),POLR3G(+),POU2F1(+),POU5F1B(+),PPARA(+),PPARG(+),PRDM1(+),RAD21(+),RARA(+),RBBP5(+),REL(+),RELA(+),RELB(+),REST(+),RFX2(+),RFX5(+),RFXAP(+),RORA(+),RREB1(+),SETBP1(+),SIN3A(+),SMAD2(+),SOX2(+),SOX4(+),SOX8(+),SP2(+),SP3(+),SP4(+),SPI1(+),SPIB(+),SREBF1(+),SREBF2(+),SRF(+),STAT1(+),STAT2(+),STAT5B(+),TAF1(+),TAF7(+),TBP(+),TBX21(+),TCF12(+),TCF3(+),TCF4(+),TCF7(+),TEAD1(+),TEAD4(+),TFCP2(+),TFDP1(+),TFE3(+),TFEB(+),THAP1(+),THAP11(+),UBTF(+),USF2(+),VDR(+),YBX1(+),YY1(+),ZBTB14(+),ZBTB17(+),ZBTB18(+),ZBTB39(+),ZBTB5(+),ZBTB7B(+),ZEB1(+),ZFP30(+),ZFP82(+),ZFY(+),ZNF143(+),ZNF226(+),ZNF236(+),ZNF239(+),ZNF266(+),ZNF274(+),ZNF354C(+),ZNF384(+),ZNF429(+),ZNF440(+),ZNF501(+),ZNF598(+),ZNF764(+),ZNF780A(+),ZNF782(+),ZNF84(+),ZNF879(+),ZSCAN29(+)
CD4_act,0.4019189137842143,0.42974260831159317,0.4498052241828625,0.23737618169134644,0.4582135822692457,0.4767665753378343,0.44427025976605483,0.4182868684777772,0.37894951099202157,0.37059308415664194,0.43222751059417475,0.4893323014544224,0.43997176119487125,0.4291321716255222,0.4431117208651223,0.4206707351944813,0.3637145664833966,0.39514972831367146,0.42229646586673053,0.4678152017203461,0.38303605682192055,0.46715047717667524,0.2825897227024009,0.43541766595798737,0.4454980603056635,0.4146886701046153,0.4338380464490609,0.47375252243614685,0.4309971949726057,0.43530392271341567,0.3648144876444306,0.4543317885017777,0.43674317919325234,0.46746462111923537,0.4537022762333456,0.48112116313765896,0.4521064146966248,0.4523552713398027,0.4641879900800867,0.4435260091748249,0.4152115539331539,0.41285991386251,0.4161580038201206,0.414131176609036,0.4506660018965387,0.4454073886295734,0.3604861466893784,0.3256041881729973,0.4318110006554524,0.36570122497605617,0.44177387412314084,0.40515656491537144,0.4146122146453666,0.4222933275903865,0.4842471970465123,0.46764161003519467,0.45430213391502483,0.4458752379331512,0.48041115187864314,0.4716710182192305,0.4677159259176751,0.3497817186664409,0.4034595692036742,0.4027980563237622,0.40118135997959814,0.2823954650018129,0.35496339858675197,0.2755132819246964,0.4140712317259835,0.4516229292643511,0.43497358440859524,0.41823087946907767,0.4307058724600129,0.4406116612757154,0.26133421262528655,0.24321293294273583,0.4477190929732603,0.43954591934567777,0.4808514156767265,0.2956743691440813,0.44793099534660497,0.32588490305605033,0.3764048641049744,0.4345529860019016,0.4253543084693865,0.39338987216763954,0.39509900547093924,0.439569687828646,0.31983661683449616,0.30745158817025786,0.1989302467829187,0.4734214027767686,0.45049990472110535,0.4099064736641168,0.4815719546245608,0.40561261181461594,0.45959646059126436,0.3608042804808639,0.42513966505912404,0.4703177073884275,0.4434352409078025,0.29774667975594027,0.42000513574146625,0.40681098813272476,0.4442286854885631,0.43138241409841904,0.4289222331808694,0.316978121380037,0.4173639898200526,0.384510083944542,0.3659795354127875,0.42714754692944745,0.20992861089602888,0.438331531384512,0.37570515064267285,0.4381678695346667,0.44853659571565885,0.3889864016670087,0.3497399157092137,0.4322140951391821,0.4533724054303886,0.461890198503462,0.30245907011747764,0.4135718967486196,0.404149804277379,0.23931051996402253,0.46139352457300165,0.3179003504283927,0.36500819737035195,0.4745318270957085,0.3383489794694322,0.312565161959412,0.30117682190859196,0.4400645745294902,0.3080342439859154,0.4624648233663453,0.4805607142792728,0.43508973919510774,0.42137714665493686,0.3113870325343029,0.289582925164935,0.23971172151038656,0.35895048714313293,0.40049071307528317,0.38541375435964376,0.43523820263824775,0.3041899317337605,0.30047491969411744,0.2825896624712779,0.3691014849357276,0.44114388402277294,0.38829399515778396,0.39133715063791263,0.30096298392652776,0.40148112112360423,0.2200483286964181,0.43823380197482875,0.45639707772607463,0.23866525903997093,0.4366277619345533,0.46716946954633387,0.44619644050721796,0.4841058616083289,0.43107281642827944,0.4378406314063418,0.42965318108329786,0.3952864205018787,0.39898096624535895,0.38252109635508913,0.35151268162902427,0.38707486324522,0.19803212108609514,0.3753709207875946,0.4284455849398827,0.3779517512553383,0.4266920604632962,0.27686534665941553,0.36404755216641005,0.44154531554400356,0.4345098340582697,0.4190493943417206,0.45005526798160145,0.4590264955245372,0.4721977255044584,0.44002622059019003,0.41497970678997564,0.43301367982305305,0.4427993860298356,0.3999298994165973,0.43990731593715704,0.4031041319519736,0.24620955472573214,0.3117262646703668,0.3483641664965713,0.3761212056498354,0.4381758502213381,0.4170450895059593,0.47485705384304044,0.43891437257782984,0.31977630486186115,0.44042928627970457,0.4501470603480624,0.4368056262038389,0.43062879942341536,0.32093583696964256,0.4755702563865032,0.4425108616332971,0.3524054145118707,0.35533043098939243,0.37268551203661615,0.40255309435669673,0.2826271239211061,0.29849520534665974,0.420215341162673,0.4219591677206169,0.25456820750828235,0.4175348756780197,0.3393327749830669,0.2168817133224199,0.373312663722954,0.3005931737792883,0.3949996911221536,0.3999874283309771,0.37023617229023775,0.41722560504840667,0.24223403124341136,0.25515189674548044,0.29383189536292986,0.37586647122886274,0.3176319621175101,0.37255425039529755,0.25283176162947596,0.2908652566102061,0.27288808185364843,0.27609470493071153
CD8_rest,0.3050493505514995,0.3059539927553816,0.3055134075219792,0.22190436577687056,0.3102012847893092,0.29837406425151713,0.31030065689791586,0.30932327135736726,0.29694900643963196,0.26545424001823315,0.31725030912108365,0.2870156820844837,0.31228742920844843,0.3114088917410692,0.3054140532230546,0.31786716638478707,0.2878226494685626,0.2997855023607242,0.29947298513457166,0.30873646774394936,0.35913071787016027,0.29040394531008584,0.26476176210971447,0.304348249257023,0.30491292655601965,0.3021647332743118,0.3012227083699539,0.3010960398879009,0.3081144989596927,0.3156565636927512,0.3177685374728858,0.3040010047349563,0.3023756461303875,0.3021403968058419,0.3129880962780097,0.29568321340261683,0.3090932545837862,0.3067806336076975,0.3046681728478716,0.3065152932934532,0.3087800342133229,0.32215200114529163,0.31752598816266886,0.311941309109226,0.3063575222663676,0.3132716557864942,0.38475613583730817,0.27817088582728733,0.3191890862242742,0.2802386920915797,0.3178326851608827,0.30694650801485635,0.3118208338426639,0.29377457898768045,0.29546359656843735,0.3000400934656624,0.30677048486114267,0.3147293152602376,0.2761895409455295,0.30171845272956266,0.30146071088111703,0.2687695540015297,0.32536554874062606,0.30946939374715865,0.3078116988565659,0.23548260057103376,0.3103143377412819,0.2832696794857148,0.3033545829693517,0.31127960710809444,0.3041766043033117,0.31193937347796075,0.3218446124488684,0.30779076508318337,0.23809957235739065,0.23227695439317098,0.3080977564037891,0.3146792405028537,0.29604179206793346,0.24752308838531012,0.2762309783200778,0.272243321199767,0.30335441779905437,0.29713896655988803,0.29536852626865273,0.284142442823592,0.3244152492544392,0.30762303071815966,0.2852403513324664,0.26828544572991975,0.2203734247149518,0.2986775978496532,0.3088911613147233,0.32426794661828706,0.29845189979567477,0.30185266628732066,0.30752104343923603,0.21004792174304965,0.3323834055380539,0.302897975726098,0.3201716291323913,0.270315181523184,0.3135744180451311,0.2881935559414216,0.30115926542001625,0.3178455641988538,0.3277023311302024,0.32101514513081675,0.3208354941079097,0.3072012014746338,0.28333985186248234,0.32920289875910136,0.21598955736788927,0.29237023164164033,0.32510106114165316,0.3106705766281368,0.31287782561576527,0.29399537987211743,0.27023859273220896,0.32124737699812034,0.31017665827944463,0.30532847457341816,0.2641917476777407,0.3103605716513703,0.3143218927172271,0.22631401754618996,0.30354861872658323,0.267838672068445,0.33701248037433795,0.2965903208165587,0.27186431679598777,0.2457027381167718,0.30568441853779216,0.32000873167035304,0.26382401296660707,0.3058866422645672,0.29583199159880713,0.3182820141691941,0.30059750058619195,0.2868311335383342,0.2721293471111691,0.22460489040094167,0.27214748476615835,0.29875227504456536,0.30640673683403186,0.2838499097920536,0.271284233835993,0.28614287744769207,0.2524756544775498,0.28339127303108735,0.31462755637963613,0.27698438391942104,0.3112599788961844,0.28363385930509777,0.3166407112824565,0.20262384331542616,0.32803930613565857,0.3060954570968778,0.22382125958380217,0.3077933349040064,0.3027730583025484,0.309422297923998,0.29477261247697295,0.3019356457259378,0.31164398750375055,0.3148499430664211,0.3050689378589282,0.3381996454341848,0.3073565492913084,0.3618817127969908,0.31647729439405436,0.20962850147783774,0.2678808320749694,0.31288245136038717,0.286358036537835,0.31044565542575553,0.2527378080163142,0.3092110423745511,0.31799826294158906,0.29777439774707815,0.3033135609394346,0.3128327436590994,0.30309054619271847,0.29982057878807233,0.31234957368853344,0.3064604306697898,0.3138086758965133,0.31140017950599075,0.2947749021131686,0.314627282762744,0.32411109527915793,0.21493262103844635,0.2773717549810656,0.2947279654604821,0.3362585572193436,0.30563714929073715,0.30047003490883206,0.3006262837571181,0.30760890214190195,0.23073412158741025,0.3087701252672448,0.30727357276832445,0.3107886016399951,0.3209662170379416,0.2757464285231336,0.29958548160848497,0.31578491786422525,0.30202142774254837,0.2918399612599385,0.2721723768555008,0.3108087568713217,0.2611145065545223,0.25571735713056976,0.3159317058784247,0.3032944507059957,0.2424860104448896,0.3226260116540429,0.2974499187366514,0.2193044806594514,0.29927846804594305,0.23945672712729826,0.27387769252073957,0.307587651109542,0.3260510064083645,0.3139687941046764,0.2813028532833243,0.23620579578981826,0.27504458001087695,0.2985544711800492,0.2625303778094028,0.32636452200127597,0.23299849454485277,0.30235837612431726,0.22720944468243098,0.23056444101578122
CD8_act,0.2751977123228436,0.28962242285406636,0.2865266145690649,0.21686908571197128,0.30051634807956773,0.3082971207154711,0.29940356840853943,0.2809582245894624,0.27908152799236396,0.27052614900306404,0.30538076434166417,0.3136681677347296,0.3417285230003041,0.289562648100661,0.2920724132818099,0.28267494902595725,0.2734802869533344,0.28130907125151694,0.2742521531839359,0.3123183856716255,0.3170594329142048,0.3008858060011067,0.24001961453025633,0.28806331012757525,0.3047223668168516,0.29907805871855586,0.2985181872469672,0.30861797782173017,0.2929511585892818,0.2923853126804332,0.28610092749492877,0.29506727721763126,0.2862881140613788,0.29760467796287904,0.29289256126817764,0.3060557129291618,0.29094272422922873,0.2981439731508774,0.31443952051848967,0.2933632664219512,0.2834716125740977,0.2826996378306549,0.2827020926301581,0.2804796581281669,0.2909852175940493,0.2918001805101351,0.3684977236529685,0.26012057062613914,0.294637498437755,0.25980158514433804,0.30023306671524275,0.26959410156779895,0.27988563820065193,0.28182620273118686,0.3038864273286427,0.2925267908590745,0.29041332396549036,0.2999210300542344,0.3148487501582402,0.30746019564133575,0.31392772732900665,0.26078014434103913,0.30044864080355127,0.2807778229205634,0.2710492244127458,0.23208560647846554,0.26845052513342693,0.2539425546335017,0.2756272401650356,0.2923262322992002,0.2853151847921145,0.28391841285854613,0.2937986951907011,0.29118230084671204,0.23001735686317626,0.22374885376700648,0.29029818082028325,0.29987529217378706,0.3036472638206307,0.2358929254285761,0.2941639247471608,0.266497042647717,0.2589919227286289,0.2959894317782741,0.27355072020772,0.2820875326005128,0.27697135542893503,0.28898143616664906,0.26719693674155365,0.2497687345510573,0.21290858404654855,0.29167417539696117,0.2873074506743316,0.27655329802738216,0.31919541101771287,0.2864842129965093,0.295559494679426,0.24475045863907763,0.3045141576214473,0.3073580066646051,0.3087594982314501,0.24305485628180745,0.28234143923501,0.2803362704397614,0.300386724838712,0.28919378966695364,0.2967555020948238,0.24079290577939394,0.27871822358814113,0.27694170062460344,0.2699155156508706,0.2995172773605088,0.20654277684573363,0.26598967987806876,0.2660567157362128,0.30634653260165223,0.293002443133063,0.26270538725267745,0.2529590245743316,0.29655633021690486,0.2920642504462926,0.29767886346329875,0.24503837356675562,0.29125805938830873,0.28187878938313216,0.2101256667378687,0.29978023366448514,0.25939857772960484,0.27906319402215096,0.2957337452597302,0.27113203569706945,0.24832006901186343,0.23512756166283155,0.30207644783283993,0.24953765389787008,0.29813437128993525,0.29810025173071053,0.30050366882944834,0.29007091774368465,0.25459806652345485,0.24086687820518182,0.2069575739571452,0.2623544798380103,0.27646715699992075,0.26539548840189997,0.30053463285761317,0.2524474904178243,0.24868194659951093,0.23255669474296148,0.2633292811632816,0.2881060391341568,0.2783819173282934,0.2905266286445072,0.249141722088851,0.2720184507043356,0.20141116887927002,0.32756997090596907,0.2916596363310897,0.21803823999077632,0.28124815895426547,0.3054311137088954,0.288160736880803,0.30718799142824693,0.29107819666293977,0.2970054721048895,0.28605676222016796,0.28323393213888415,0.3072413215942862,0.2577245183907516,0.36147804380201276,0.26814169430427703,0.20030970234769918,0.2633899862088106,0.28434369071106635,0.2780702617226417,0.2820809795206255,0.23716267537971447,0.27085976702433057,0.2978128670714075,0.29318873543371726,0.29089193810301095,0.29189161705364575,0.30236950252017425,0.293184586155553,0.28824150198986276,0.27957230286631896,0.28521264849230255,0.29428887624878175,0.28064591282908835,0.31625039464792115,0.2834763328477723,0.20951337980559026,0.23923035831864348,0.22984385040050903,0.2833656885857295,0.29277768326466114,0.27774355631256364,0.302428986125027,0.28604299742115835,0.24177405576889266,0.2905069765772973,0.2865130919115638,0.29393027746651246,0.28918423184299047,0.23621050798749865,0.3040136069340428,0.29700828640450694,0.261888061632764,0.2605168482461806,0.2384671356061686,0.26662683979834634,0.2362275313778076,0.24579187827774995,0.2921280267767715,0.2814156472286782,0.2358909768385068,0.2966822494116219,0.28085803470349313,0.19960385548050008,0.27311792175705574,0.24174210746341884,0.26553626476077175,0.2731100651692161,0.24855818261082196,0.2835599829977534,0.23234314692916958,0.2246741878908345,0.22693795431358343,0.2593339099974894,0.23592141906444086,0.2697794852390145,0.21361600345163134,0.2658350915560822,0.21428807843659536,0.22958207865381652
CD4_rest,0.4086141858444262,0.4250283773989295,0.44895449137994203,0.24652459822374118,0.44015402681345084,0.42663571461435645,0.4403830908286469,0.45596142147670415,0.4105622272800358,0.37383179014137247,0.4482974829913018,0.40515508798294186,0.3506727763976415,0.4510153556922202,0.4341929270072796,0.4706723869120355,0.38376859122282414,0.4264384615399144,0.4575986921798937,0.42273104048280463,0.4355247393862386,0.416025565571,0.3172849142765164,0.42989579763116204,0.43007517645125404,0.4067365066695968,0.40735210288669155,0.428959986780321,0.4260337575723804,0.4539061532605002,0.427288115502617,0.44210731435482753,0.4402146614362382,0.4412709592399676,0.4433874769107883,0.4255419927114602,0.43077573201351527,0.43359445421186615,0.41522606221697667,0.42610074048143987,0.4262857666620711,0.4767033280772498,0.46347159500927526,0.4441667470484931,0.4508111925696404,0.4464707950895719,0.37899168526960225,0.3363216329515658,0.4557756691462487,0.40196523177459986,0.45256407231984797,0.4463477197186274,0.4210484370188764,0.41030115964176883,0.41648173630015217,0.4297761120466089,0.44676550695406947,0.4426819344786451,0.37098161877573044,0.4266570426629084,0.42090499554630867,0.3586479080294205,0.42977087745150955,0.4489777503447264,0.43254747618945866,0.2839018593264643,0.4095879977828448,0.31179516942778673,0.4459507759247644,0.44262979718192885,0.4370130359197205,0.45793086314296494,0.44798125895209506,0.4400927274576878,0.2832417095173456,0.26149245572250557,0.4540134866448504,0.44674040582702756,0.4262197913589928,0.34328264766792016,0.37238421245372977,0.3340184125406275,0.3997658028259512,0.4169340291522917,0.42671158021218614,0.38971492900602567,0.4789170619196249,0.4514228261167009,0.3538826310489318,0.3139659606308821,0.19600740790481375,0.4393988992781377,0.4509445410102574,0.49253940897110315,0.4005498640555267,0.4186644801450524,0.4437507207579007,0.3245316849605179,0.4490958948678677,0.4328236847416109,0.44185853612323633,0.33715440015382003,0.4445212070143103,0.40597714448160815,0.4238127367289176,0.45194687880663076,0.4541721977380163,0.5211198888999063,0.4760620090100781,0.4173227053264139,0.37739861461694413,0.45693417347936305,0.22413035977261908,0.49518406666779213,0.45844063325781326,0.42393919789789014,0.44807647348818913,0.39600272192468633,0.3349379963936484,0.4496891176728135,0.4484686688740761,0.4343976420822049,0.3583529805425083,0.4334939557191755,0.42967836875938714,0.2583899318880988,0.4376959305813547,0.3459090541337365,0.47073342095858417,0.44481460001553097,0.3385278286771015,0.29598274119912216,0.3514086743243945,0.44034327335358525,0.31920650594301214,0.44284141849348857,0.43417398388261463,0.4423126722537424,0.4284551225921862,0.3506277972662557,0.3491393064027991,0.2640910446778939,0.36079886115168835,0.42320438775918157,0.41199578887559307,0.39671646541973504,0.31729729854598354,0.3513633195116519,0.31695393222994883,0.3620077554697425,0.4591744229897512,0.3670544920951273,0.4150761344908145,0.3750166311838038,0.47107614691618094,0.22741704038321553,0.4160800788050125,0.4531877624129863,0.24440149969100777,0.44772400430008075,0.43078101098455324,0.43524492393037306,0.4242854582529667,0.4349184778341689,0.4323003384729335,0.4543559245687989,0.4133021878346732,0.44914693158222807,0.426703769246198,0.3749383295245725,0.43587164228044617,0.2119421801930007,0.3704754292096837,0.4610342059674205,0.3842712985670035,0.44379092211446536,0.29569579851507855,0.43110702540522483,0.45349139209109646,0.4073264030672247,0.4197276162546705,0.44966187520145273,0.43138906648449915,0.44370180515986224,0.44788340274600424,0.42034732449517087,0.45244021982677063,0.4512999665275883,0.4072973429802057,0.416887695769543,0.43452767389924574,0.25251029570863015,0.4018704167212037,0.5222869786026121,0.43206623539372846,0.4298731372022674,0.44447317431608135,0.4329555408930762,0.43833885252234683,0.2591393522846408,0.4438863232306739,0.46179096501205874,0.4424308962665643,0.46504002720081816,0.33025532405903524,0.4327534007591134,0.4499070664391366,0.4170117013854385,0.3949023772257999,0.42073154897285925,0.43706909297536467,0.32411895538853264,0.32160016267892,0.43189353862561164,0.40029965717769855,0.2595402391567193,0.438688227654101,0.37869610773894335,0.2551712577667652,0.4123634140008744,0.2864366294958911,0.3785235958026332,0.44041033859505874,0.4621535570868641,0.44571282023529835,0.25491983529936824,0.27260280511115687,0.29549386384676735,0.4075879637665947,0.34786915442263255,0.4109653693490303,0.29072470661353866,0.34072944095799773,0.2869576990527166,0.26714877782265023
