source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
ADNP,GNA15,-0.5510225513330675,0.0067596382567068,7.093009713228605e-06,-4.490878227446958,Stim48hr,1
ADNP,RAB5IF,0.29398187141619,0.0493303610097752,0.0001207808769039,3.844535750337272,Stim48hr,1
ADNP,ARHGEF10,1.4245023206016891,0.046116469967103,0.0001008142487913,3.888623785581202,Stim48hr,1
ADNP,MDK,1.823397435582884,4.164373028003842e-06,7.282918901720602e-10,6.1598167095729375,Stim48hr,1
ADNP,RAB35,0.2161983532307229,0.0239515331793798,3.560476250869689e-05,4.134293886952927,Stim48hr,1
ADNP,PODXL2,1.2746772904888486,0.0157902418478713,1.933048145069949e-05,4.272487013803174,Stim48hr,1
ADNP,SPR,0.6683490506707372,0.0412135770893424,8.102709762542819e-05,3.941341711851507,Stim48hr,1
ADNP,BSPRY,0.5386295474266714,0.0296738571044918,4.670596606163461e-05,4.0715269062397335,Stim48hr,1
ADNP,DEK,-0.1932098554756003,0.0493303610097752,0.0001205376891283,-3.8450300033226488,Stim48hr,1
ADNP,DTD1,0.2818941992889218,0.0006242435425477,3.275149751037653e-07,5.106883820135678,Stim48hr,1
ADNP,STK33,1.4644601879524903,0.0412135770893424,7.491197729519719e-05,3.9601204235931498,Stim48hr,1
ADNP,KLHDC7B,0.9183881021920264,0.0412135770893424,8.558028655751419e-05,3.928210507676535,Stim48hr,1
ADNP,VSTM2L,2.225136132985855,0.0052612245946366,4.60058114256441e-06,4.5822233573023015,Stim48hr,1
ADNP,C9orf40,0.2759555154802632,0.0052612245946366,4.234667708336848e-06,4.599519393398278,Stim48hr,1
ADNP,ENPP2,1.889981383296286,0.0006242435425477,2.9740292201536705e-07,5.1250853947828,Stim48hr,1
ADNP,ANXA3,1.6762476115618865,0.0136504555643169,1.5517306954889797e-05,4.321214024342936,Stim48hr,1
ADNP,BABAM2,-0.3315785300969842,0.0412135770893424,6.87791607699757e-05,-3.980469945098976,Stim48hr,1
ADNP,PKN3,0.7309272752677183,0.019933258368688,2.7888434233911244e-05,4.190057037974665,Stim48hr,1
ADNP,CLASP2,0.2226022832813888,0.0412135770893424,8.146239360635979e-05,3.940056580553017,Stim48hr,1
ADNP,PLEKHA7,1.3524412065444456,0.0412135770893424,8.649229189788547e-05,3.9256598970974848,Stim48hr,1
ADNP,ZNF558,-0.7551662509853414,0.0006242435425477,2.282899927057601e-07,-5.174689756445228,Stim48hr,1
ADNP,HSF5,-1.280423242327157,0.0493303610097752,0.0001138451334105,-3.85901460799455,Stim48hr,1
ADNP,CCDC159,-0.7238765030083072,0.018793840064431,2.465089200476272e-05,-4.217972458303342,Stim48hr,1
ADNP,FPGT,-0.4023228956168345,0.0061870737307528,5.9511901922246855e-06,-4.528116031703015,Stim48hr,1
ADNP2,HMG20B,0.5032644408082527,3.956131975137216e-13,9.748969874660463e-17,8.307803611927328,Stim48hr,1
ADNP2,TBC1D1,-0.3992831760827408,0.0391451732175213,0.0002090057712451,-3.707875004172586,Stim48hr,1
ADNP2,PRKCZ,1.7532747590008244,8.943523018757871e-06,7.346412862459233e-09,5.782807464647416,Stim48hr,1
ADNP2,KCNAB2,-0.1557821154764148,0.0228554352169389,9.950205901903762e-05,-3.891802915028784,Stim48hr,1
