source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
ADNP,PPP5C,0.1989700633376388,0.0377160587410155,0.0001005517804535,3.889256547416797,Stim8hr,1
ADNP,BTBD1,-0.1876067301186147,0.0042600971053641,5.850836224849745e-06,-4.5317091772141085,Stim8hr,1
ADNP,NDST1,1.063493562709127,0.0377160587410155,9.909214401565814e-05,3.8928041592477993,Stim8hr,1
ADNP,ADD2,1.3401491383955224,0.0377160587410155,9.6543485672327e-05,3.899118586842691,Stim8hr,1
ADNP,MYEF2,0.9450551522071002,0.0158797010935762,3.078953193131603e-05,4.167546795029892,Stim8hr,1
ADNP,MEST,0.8991965738835306,0.0197888823632337,4.1566564989826864e-05,4.098594987957441,Stim8hr,1
ADNP,PRPF40B,-1.0508750255461143,0.0024092511270545,2.5303170667078083e-06,-4.705671482493939,Stim8hr,1
ADNP,GNPDA1,-0.4684458980885093,0.0005312472280871,3.4334931529301974e-07,-5.097951190923154,Stim8hr,1
ADNP,ATP6V1A,-0.3872841525816526,0.0158797010935762,3.055399194017666e-05,-4.169297521909965,Stim8hr,1
ADNP,DTD1,0.5266284026288384,1.5740027345875066e-14,2.5432262636734635e-18,8.730155538918275,Stim8hr,1
ADNP,KLHDC7B,1.0052044513699063,0.0037822951583599,4.889054979298637e-06,4.569492998596996,Stim8hr,1
ADNP,VSTM2L,3.018340755099297,1.0964193878827545e-08,3.5431229209331213e-12,6.954301834665417,Stim8hr,1
ADNP,MKRN1,-0.3853140456336932,0.0283461895795588,6.412128843332106e-05,-3.99710712372992,Stim8hr,1
ADNP,C9orf40,0.4402061927034438,2.617567305865765e-05,1.0573466254103106e-08,5.721263662058525,Stim8hr,1
ADNP,TAOK3,-0.2426333782865433,0.0130163943336995,2.299585260866852e-05,-4.233620840863625,Stim8hr,1
ADNP,MAPKBP1,-0.4980044421909761,0.0194153579932489,3.921343915262758e-05,-4.112065860168404,Stim8hr,1
ADNP,DPH7,-0.2880967427203216,0.0212984263710378,4.64580313473924e-05,-4.072766314763084,Stim8hr,1
ADNP,CLPB,-0.3167176196247629,0.0002816399378886,1.5927286841336645e-07,-5.241504180172169,Stim8hr,1
ADNP,SPINT1,0.6425421122139477,0.0029607940270358,3.5879714336353503e-06,4.633924934471983,Stim8hr,1
ADNP,TMIGD2,2.353043601312884,0.0130163943336995,2.2188492165975243e-05,4.241647571643052,Stim8hr,1
ADNP,ZNF558,-0.7951542909148682,0.0007683592658114,5.58671303304506e-07,-5.004982416912176,Stim8hr,1
ADNP,HOOK3,0.2734102271086783,0.0017578394127968,1.5678059259565088e-06,4.80239301108695,Stim8hr,1
ADNP,GPR160,0.9545737745734494,0.0017578394127968,1.7041584224884404e-06,4.785672387365054,Stim8hr,1
ADNP,PRKAG1,-0.2261584126995577,0.0069186177895176,1.061994974962316e-05,-4.404149893911692,Stim8hr,1
ADNP,BEGAIN,1.4037517860023896,0.0130163943336995,2.313464819368145e-05,4.232268021243139,Stim8hr,1
ADNP,STMN3,1.0704355531963003,0.0308828688229626,7.48494154700984e-05,3.960319933371562,Stim8hr,1
ADNP,SCAMP4,0.3456567155357355,0.0069186177895176,1.0195063589979732e-05,4.412994397138664,Stim8hr,1
ADNP,FNDC10,1.2415330873557444,4.397964939170729e-09,1.0659149149710929e-12,7.121716038295182,Stim8hr,1
ADNP2,ERCC1,-0.2415545860854158,0.0221831492798624,6.998971134330832e-05,-3.976320745390301,Stim8hr,1
ADNP2,CCDC88C,-0.2374661186141536,0.0446451276068268,0.0002058710681651,-3.711701028813214,Stim8hr,1
ADNP2,TOMM34,0.2263335109918781,0.0114637349913462,2.782234849448973e-05,4.190595332375487,Stim8hr,1
ADNP2,NEDD4L,1.0855078266468532,0.0030191110108528,5.37338744751738e-06,4.54965526152788,Stim8hr,1
ADNP2,PRKCZ,1.5523373010058914,0.0127469960105824,3.299926157581403e-05,4.151715301223226,Stim8hr,1
ADNP2,NSF,0.3393970158800364,0.0067739965486982,1.4248354523594692e-05,4.339998721149548,Stim8hr,1
ADNP2,CSF2RB,-3.078120351148668,0.0078693739912387,1.769888062141246e-05,-4.292103003295464,Stim8hr,1
ADNP2,GZMH,1.238702107912481,0.0333824971569059,0.0001296302777713,3.827159962868239,Stim8hr,1
ADNP2,CSNK2A1,0.3066671411708712,0.038603933724558,0.0001602333962525,3.774648560717498,Stim8hr,1
ADNP2,JAG1,2.201315824950888,0.0486528060808005,0.0002282875780831,3.685462630885169,Stim8hr,1
ADNP2,RNF125,-0.656662209608775,0.0318292193247521,0.0001184486763966,-3.849314850706311,Stim8hr,1
ADNP2,HCFC1R1,-0.242524356955159,0.0144279553100349,3.8518123552394775e-05,-4.116193337943806,Stim8hr,1
ADNP2,ETHE1,-0.3052541091577089,0.0333824971569059,0.000129103017379,-3.828163440705089,Stim8hr,1
ADNP2,AIP,-0.284599683167247,4.219121675034439e-09,2.0479516260987488e-12,-7.031179273991311,Stim8hr,1
ADNP2,KDM3A,-0.3484408167802739,0.0246843654114206,8.187517044480611e-05,-3.938843914681233,Stim8hr,1
ADNP2,KDM3B,-0.2883051535104111,1.7131932555592944e-05,1.2473698972602256e-08,-5.693122273228703,Stim8hr,1
ADNP2,IGFLR1,-0.510520666404784,0.0035298863515452,6.8535937575508095e-06,-4.498185342221498,Stim8hr,1
ADNP2,NR1D1,-0.573590883891291,0.0006124614374145,6.441225375284759e-07,-4.977495575963362,Stim8hr,1
ADNP2,REEP5,-0.1994365493386511,0.0431327513857966,0.0001849393919138,-3.738747460560245,Stim8hr,1
ADNP2,PRKAA1,-0.5200969839034555,1.7635508826449525e-15,2.853411346403936e-19,-8.974229781595104,Stim8hr,1
ADNP2,GRSF1,0.2047125429238853,6.151633719116855e-05,5.97197675183256e-08,5.419638206280442,Stim8hr,1
ADNP2,BEX2,1.2722929271106902,0.0016191128828168,2.357740627028853e-06,4.720060883663963,Stim8hr,1
ADNP2,GLS2,1.8782224269211825,2.083270320402608e-05,1.6853574309542982e-08,5.641540134051978,Stim8hr,1
ADNP2,DENND4C,-0.4715313310785581,0.0020743975874379,3.3563588503162e-06,-4.647712731442619,Stim8hr,1
ADNP2,TPMT,0.5895353844771546,0.0022662263775967,3.8500731275408045e-06,4.619315899690162,Stim8hr,1
ADNP2,TUFT1,0.8850132045759029,0.0162921431119418,4.876703301851378e-05,4.061458763726852,Stim8hr,1
ADNP2,SLC39A1,-0.3119696564166566,0.0340724903034351,0.0001350660969879,-3.817033025211783,Stim8hr,1
ADNP2,SLC18B1,-0.6414373834025504,0.027146231264715,9.66292513265481e-05,-3.8989035523744553,Stim8hr,1
ADNP2,PARP8,-0.4762473557054953,0.0260276768701078,8.843640713085761e-05,-3.920306536403453,Stim8hr,1
ADNP2,OBSCN,1.837239056766272,1.3227685755981164e-10,4.2804581363906363e-14,7.552175904444999,Stim8hr,1
ADNP2,PTMS,0.8498505179485355,0.0032258755073253,6.002357144930208e-06,4.526306275002997,Stim8hr,1
ADNP2,SPATC1L,3.1345540513889736,3.0281457271103486e-14,7.349273668255842e-18,8.60932388364073,Stim8hr,1
ADNP2,LY6E,-0.2919579618683091,0.0230959668317317,7.473818245039008e-05,-3.960675045450826,Stim8hr,1
ADNP2,PGAP3,-1.0038698089157594,1.1642887893305486e-08,6.593335106636874e-12,-6.866202745562789,Stim8hr,1
ADNP2,EIF5A2,0.5228833487369849,0.0012232035790191,1.583306954478324e-06,4.800423188507411,Stim8hr,1
