state,perturb_condition,n_scprint_edges,n_scenic_edges,n_perturb_edges,scprint_scenic_overlap,scprint_perturb_overlap,scenic_perturb_overlap,all_three_overlap,jaccard_scprint_scenic,jaccard_scprint_perturb,jaccard_scenic_perturb,n_scprint_tfs,n_scenic_tfs,n_perturb_tfs,all_three_tfs
CD4_rest,Rest,9470,27019,28836,19,14,217,0,0.0005209761447765287,0.00036561161600334274,0.0039002120852654663,982,235,409,85
CD4_act,Stim8hr,6904,27019,33569,16,15,364,0,0.0004718789630459787,0.00037075485688862526,0.006044102019128587,973,235,429,96
CD4_act,Stim48hr,6904,27019,28521,16,12,202,0,0.0004718789630459787,0.00033885861124445825,0.003650294553471394,973,235,424,93
CD8_rest,Rest,7873,27019,28836,23,10,217,0,0.0006596116894662881,0.0002724869887462874,0.0039002120852654663,999,235,409,84
CD8_act,Stim8hr,8446,27019,33569,22,12,364,0,0.0006207149507660187,0.00028569387900864224,0.006044102019128587,1017,235,429,97
CD8_act,Stim48hr,8446,27019,28521,22,15,202,0,0.0006207149507660187,0.0004059320199177311,0.003650294553471394,1017,235,424,94
