axis	index	name
row	314	ANKRD34A
row	315	ANKRD35
row	316	ANKRD36C
row	317	ANKRD39
row	318	ANKRD40
row	319	ANKRD42
row	320	ANKRD44
row	321	ANKRD44-IT1
row	322	ANKRD46
row	323	ANKRD49
row	324	ANKRD52
row	325	ANKRD54
row	326	ANKRD6
row	327	ANKRD9
row	328	ANKS1A
row	329	ANKS1B
row	330	ANKS3
row	331	ANKS6
row	332	ANO6
row	333	ANP32A
row	334	ANP32B
row	335	ANP32E
row	336	ANTXR2
row	337	ANXA1
row	338	ANXA2
row	339	ANXA2R
row	340	ANXA3
row	341	ANXA4
row	342	ANXA5
row	343	ANXA6
row	344	ANXA7
row	345	ANXA9
row	346	AOAH
row	347	AP1B1
row	348	AP1G1
row	349	AP1G2
row	350	AP1M1
row	351	AP1S2
row	352	AP1S3
row	353	AP2A1
row	354	AP2B1
row	355	AP2M1
row	356	AP2S1
row	357	AP3B1
row	358	AP3D1
row	359	AP3M1
row	360	AP3M2
row	361	AP3S1
row	362	AP3S2
row	363	AP4B1
row	364	AP4E1
row	365	AP5B1
row	366	AP5M1
row	367	AP5S1
row	368	AP5Z1
row	369	APAF1
row	370	APBA2
row	371	APBA3
row	372	APBB1
row	373	APBB1IP
row	374	APBB3
row	375	APC
row	376	APEH
row	377	APEX2
row	378	APH1B
row	379	API5
row	380	APITD1
row	381	APLF
row	382	APLP2
row	383	APMAP
row	384	APOBEC3F
row	385	APOC1
row	386	APOL1
row	387	APOL2
row	388	APOL3
row	389	APOL6
row	390	APOLD1
row	391	APOO
row	392	APOOL
row	393	APOPT1
row	394	APP
row	395	APPBP2
row	396	APPL1
row	397	APPL2
row	398	APRT
row	399	APTR
row	400	APTX
row	401	AQP3
row	402	AQR
row	403	ARAF
row	404	ARAP1
row	405	ARAP2
row	406	ARCN1
row	407	AREG
row	408	AREL1
row	409	ARF1
row	410	ARF3
row	411	ARF4
row	412	ARF5
row	413	ARF6
row	414	ARFGAP1
row	415	ARFGAP2
row	416	ARFGAP3
row	417	ARFGEF1
row	418	ARFGEF2
row	419	ARFIP1
row	420	ARG2
row	421	ARHGAP1
row	422	ARHGAP10
row	423	ARHGAP11A
row	424	ARHGAP11B
row	425	ARHGAP12
row	426	ARHGAP15
row	427	ARHGAP17
row	428	ARHGAP18
row	429	ARHGAP19
row	430	ARHGAP21
row	431	ARHGAP24
row	432	ARHGAP25
row	433	ARHGAP26
row	434	ARHGAP27
row	435	ARHGAP30
row	436	ARHGAP31
row	437	ARHGAP32
row	438	ARHGAP35
row	439	ARHGAP4
row	440	ARHGAP5
row	441	ARHGAP6
row	442	ARHGAP9
row	443	ARHGDIA
row	444	ARHGDIB
row	445	ARHGEF1
row	446	ARHGEF12
row	447	ARHGEF19
row	448	ARHGEF2
row	449	ARHGEF26
row	450	ARHGEF3
row	451	ARHGEF39
row	452	ARHGEF6
row	453	ARHGEF7
row	454	ARHGEF9
row	455	ARID1A
row	456	ARID1B
row	457	ARID2
row	458	ARID3A
row	459	ARID3B
row	460	ARID4A
row	461	ARID4B
row	462	ARID5A
row	463	ARID5B
row	464	ARIH1
row	465	ARIH2OS
row	466	ARL10
row	467	ARL13B
row	468	ARL15
row	469	ARL17A
row	470	ARL2
row	471	ARL3
row	472	ARL4A
row	473	ARL4C
row	474	ARL5A
row	475	ARL5B
row	476	ARL6
row	477	ARL6IP1
row	478	ARL6IP5
row	479	ARL6IP6
row	480	ARL8A
row	481	ARL8B
row	482	ARMC1
row	483	ARMC10
row	484	ARMC2
row	485	ARMC6
row	486	ARMC8
row	487	ARMCX1
row	488	ARMCX3
row	489	ARMCX4
row	490	ARMCX5
row	491	ARMCX5-GPRASP2
row	492	ARMT1
row	493	ARNT
row	494	ARNTL
row	495	ARNTL2
row	496	ARPC1A
row	497	ARPC1B
row	498	ARPC2
row	499	ARPC3
row	500	ARPC4
row	501	ARPC5
row	502	ARPC5L
row	503	ARPP19
row	504	ARRB1
row	505	ARRDC2
row	506	ARRDC3
row	507	ARRDC4
row	508	ARSB
row	509	ARSG
row	510	ARV1
row	511	ASAH1
row	512	ASAP1
row	513	ASB1
row	514	ASB2
row	515	ASB3
row	516	ASB6
row	517	ASB7
row	518	ASB8
row	519	ASCC1
row	520	ASCC2
row	521	ASCC3
row	522	ASCL2
row	523	ASF1A
row	524	ASF1B
row	525	ASGR1
row	526	ASH1L
row	527	ASH1L-AS1
row	528	ASH2L
row	529	ASIC4
row	530	ASL
row	531	ASNS
row	532	ASNSD1
row	533	ASPH
row	534	ASPHD2
row	535	ASPM
row	536	ASPSCR1
row	537	ASRGL1
row	538	ASS1
row	539	ASUN
row	540	ASXL1
row	541	ASXL2
row	542	ATAD1
row	543	ATAD2
row	544	ATAD2B
row	545	ATAD3A
row	546	ATAD5
row	547	ATAT1
row	548	ATCAY
row	549	ATE1
row	550	ATF1
row	551	ATF2
row	552	ATF3
row	553	ATF4
row	554	ATF5
row	555	ATF6
row	556	ATF6B
row	557	ATF7
row	558	ATF7IP
row	559	ATF7IP2
row	560	ATG10
row	561	ATG101
row	562	ATG13
row	563	ATG16L1
row	564	ATG16L2
row	565	ATG2A
row	566	ATG2B
row	567	ATG3
row	568	ATG4A
row	569	ATG4B
row	570	ATG4C
row	571	ATG5
row	572	ATG7
row	573	ATG9A
row	574	ATIC
row	575	ATL2
row	576	ATL3
row	577	ATMIN
row	578	ATN1
row	579	ATP10B
row	580	ATP10D
row	581	ATP11A
row	582	ATP11B
row	583	ATP13A1
row	584	ATP13A2
row	585	ATP13A3
row	586	ATP1A1
row	587	ATP1B1
row	588	ATP1B3
row	589	ATP2A1-AS1
row	590	ATP2B4
row	591	ATP2C1
row	592	ATP5B
row	593	ATP5D
row	594	ATP5E
row	595	ATP5G1
row	596	ATP5G3
row	597	ATP5H
row	598	ATP5I
row	599	ATP5J
row	600	ATP5L
row	601	ATP5S
row	602	ATP5SL
row	603	ATP6AP1L
row	604	ATP6AP2
row	605	ATP6V0A1
row	606	ATP6V0A2
row	607	ATP6V0D1
row	608	ATP6V0E1
row	609	ATP6V1A
row	610	ATP6V1C1
row	611	ATP6V1D
row	612	ATP6V1E1
row	613	ATP6V1F
row	614	ATP6V1H
row	615	ATP7A
row	616	ATP8A1
row	617	ATP8B1
row	618	ATP8B2
row	619	ATP8B4
row	620	ATP9B
row	621	ATPAF2
row	622	ATPIF1
row	623	ATR
row	624	ATRX
row	625	ATXN1
row	626	ATXN10
row	627	ATXN1L
row	628	ATXN2
row	629	ATXN2L
row	630	ATXN3
row	631	ATXN7
row	632	ATXN7L1
row	633	ATXN7L2
row	634	ATXN7L3
row	635	AUH
row	636	AUNIP
row	637	AURKA
row	638	AURKAIP1
row	639	AURKB
row	640	AUTS2
row	641	AVEN
row	642	AVIL
row	643	AVL9
row	644	AVPI1
row	645	AXIN1
row	646	AXIN2
row	647	AXL
row	648	AZI2
row	649	AZIN1
row	650	B2M
row	651	B3GALNT2
row	652	B3GALT2
row	653	B3GALT4
row	654	B3GALT6
row	655	B3GAT2
row	656	B3GAT3
row	657	B3GLCT
row	658	B3GNT2
row	659	B3GNT5
row	660	B3GNT7
row	661	B3GNTL1
row	662	B4GALNT3
row	663	B4GALT1
row	664	B4GALT2
row	665	B4GALT3
row	666	B4GALT4
row	667	B4GALT5
row	668	B4GALT6
row	669	B4GALT7
row	670	B9D1
row	671	B9D2
row	672	BABAM1
row	673	BACE2
row	674	BACH1
row	675	BACH2
row	676	BAD
row	677	BAG1
row	678	BAG3
row	679	BAG4
row	680	BAG6
row	681	BAHD1
row	682	BAIAP2
row	683	BAK1
row	684	BAMBI
row	685	BANP
row	686	BARD1
row	687	BASP1
row	688	BATF
row	689	BATF2
row	690	BATF3
row	691	BAX
row	692	BAZ1A
row	693	BAZ1B
row	694	BAZ2A
row	695	BAZ2B
row	696	BBC3
row	697	BBIP1
row	698	BBOF1
row	699	BBS2
row	700	BBS4
row	701	BBS7
row	702	BBX
row	703	BCAR3
row	704	BCAS1
row	705	BCAS3
row	706	BCAT1
row	707	BCAT2
row	708	BCCIP
row	709	BCDIN3D
row	710	BCKDHB
row	711	BCL10
row	712	BCL11A
row	713	BCL11B
row	714	BCL2
row	715	BCL2A1
row	716	BCL2L1
row	717	BCL2L11
row	718	BCL2L12
row	719	BCL2L13
row	720	BCL2L14
row	721	BCL3
row	722	BCL6
row	723	BCL7A
row	724	BCL7B
row	725	BCL7C
row	726	BCL9
row	727	BCLAF1
row	728	BCO2
row	729	BCOR
row	730	BCORL1
row	731	BCORP1
row	732	BCR
row	733	BCS1L
row	734	BCYRN1
row	735	BDH1
row	736	BDH2
row	737	BDP1
row	738	BECN1
row	739	BEND3
row	740	BEND7
row	741	BEST1
row	742	BET1L
row	743	BEX1
row	744	BEX2
row	745	BEX4
row	746	BEX5
row	747	BFAR
row	748	BFSP1
row	749	BHLHE40
row	750	BHLHE40-AS1
row	751	BICD2
row	752	BID
row	753	BIK
row	754	BIN1
row	755	BIN2
row	756	BIN3
row	757	BIRC2
row	758	BIRC3
row	759	BIRC5
row	760	BIRC6
row	761	BISPR
row	762	BIVM
row	763	BLCAP
row	764	BLM
row	765	BLNK
row	766	BLOC1S1
row	767	BLOC1S3
row	768	BLOC1S4
row	769	BLOC1S5
row	770	BLOC1S6
row	771	BLVRB
row	772	BLZF1
row	773	BMF
row	774	BMI1
row	775	BMP2K
row	776	BMPR1A
row	777	BMPR2
row	778	BNIP2
row	779	BNIP3L
row	780	BOD1
row	781	BOD1L1
row	782	BOLA1
row	783	BOLA2
row	784	BOP1
row	785	BORA
row	786	BORCS5
row	787	BORCS6
row	788	BORCS7
row	789	BORCS8
row	790	BPGM
row	791	BPIFA1
row	792	BPIFB1
row	793	BPNT1
row	794	BPTF
row	795	BRAF
row	796	BRAP
row	797	BRCA1
row	798	BRCC3
row	799	BRD2
row	800	BRD3
row	801	BRD4
row	802	BRD7
row	803	BRD8
row	804	BRD9
row	805	BRE
row	806	BRF1
row	807	BRF2
row	808	BRI3
row	809	BRI3BP
row	810	BRK1
row	811	BRMS1L
row	812	BROX
row	813	BRPF1
row	814	BRPF3
row	815	BRWD1
row	816	BRWD3
row	817	BSDC1
row	818	BTAF1
row	819	BTBD10
row	820	BTBD11
row	821	BTBD19
row	822	BTBD2
row	823	BTBD7
row	824	BTBD9
row	825	BTF3
row	826	BTF3L4
row	827	BTG1
row	828	BTG2
row	829	BTG3
row	830	BTK
