axis	index	name
row	0	AAAS
row	1	AACS
row	2	AAGAB
row	3	AAK1
row	4	AAMDC
row	5	AAMP
row	6	AARSD1
row	7	AASDHPPT
row	8	AASS
row	9	ABAT
row	10	ABCA2
row	11	ABCA3
row	12	ABCA5
row	13	ABCA7
row	14	ABCB1
row	15	ABCB10
row	16	ABCB6
row	17	ABCB7
row	18	ABCB8
row	19	ABCB9
row	20	ABCC1
row	21	ABCC5
row	22	ABCD2
row	23	ABCD3
row	24	ABCD4
row	25	ABCE1
row	26	ABCF2
row	27	ABCF3
row	28	ABCG1
row	29	ABCG2
row	30	ABHD10
row	31	ABHD12
row	32	ABHD13
row	33	ABHD14A
row	34	ABHD14B
row	35	ABHD17B
row	36	ABHD17C
row	37	ABHD18
row	38	ABHD2
row	39	ABHD3
row	40	ABHD4
row	41	ABHD5
row	42	ABHD6
row	43	ABHD8
row	44	ABI1
row	45	ABI2
row	46	ABI3
row	47	ABL1
row	48	ABR
row	49	ABRACL
row	50	ABRAXAS1
row	51	ABTB1
row	52	ABTB2
row	53	ABTB3
row	54	ACAA1
row	55	ACAA2
row	56	ACACA
row	57	ACACB
row	58	ACAD11
row	59	ACADM
row	60	ACADS
row	61	ACADSB
row	62	ACADVL
row	63	ACAP1
row	64	ACAP2
row	65	ACAP3
row	66	ACAT1
row	67	ACAT2
row	68	ACBD3
row	69	ACBD5
row	70	ACBD6
row	71	ACD
row	72	ACER3
row	73	ACIN1
row	74	ACKR3
row	75	ACO1
row	76	ACO2
row	77	ACOT13
row	78	ACOT7
row	79	ACOT8
row	80	ACOT9
row	81	ACOX1
row	82	ACP1
row	83	ACP2
row	84	ACP5
row	85	ACSF2
row	86	ACSF3
row	87	ACSL1
row	88	ACSL3
row	89	ACSL4
row	90	ACSL5
row	91	ACSL6
row	92	ACSM3
row	93	ACSS1
row	94	ACSS2
row	95	ACTA2
row	96	ACTG1
row	97	ACTL6A
row	98	ACTMAP
row	99	ACTN1
row	100	ACTN4
row	101	ACTR10
row	102	ACTR1A
row	103	ACTR1B
row	104	ACTR2
row	105	ACTR3
row	106	ACTR6
row	107	ACTR8
row	108	ACVR1
row	109	ACVR1B
row	110	ACVR1C
row	111	ACVR2A
