cell_state,n_pyscenic_edges,n_scprint2_edges,n_shared_edges,pct_pyscenic_in_scprint2,pct_scprint2_in_pyscenic,n_pyscenic_tfs,n_scprint2_tfs,n_shared_tfs
CD4_rest,27019,9470,19,0.07032088530293497,0.2006335797254488,235,982,180
CD4_act,27019,6904,16,0.05921758762352418,0.2317497103128621,235,973,181
CD8_rest,27019,7873,23,0.08512528220881602,0.29213768576146326,235,999,174
CD8_act,27019,8446,22,0.08142418298234576,0.2604783329386692,235,1017,188
