,scPRINT2_CD4_act,pySCENIC_CD4_act,Perturb-seq_CD4_act_Stim8hr,Perturb-seq_CD4_act_Stim48hr
scPRINT2_CD4_act,973,181,401,398
pySCENIC_CD4_act,181,235,98,95
Perturb-seq_CD4_act_Stim8hr,401,98,429,330
Perturb-seq_CD4_act_Stim48hr,398,95,330,424
