,scPRINT2_CD4_rest,pySCENIC_CD4_rest,Perturb-seq_CD4_rest_Rest
scPRINT2_CD4_rest,1.0,0.17357762777242045,0.3854581673306773
pySCENIC_CD4_rest,0.17357762777242045,1.0,0.1520572450805009
Perturb-seq_CD4_rest_Rest,0.3854581673306773,0.1520572450805009,1.0
