,scPRINT2_CD8_rest,pySCENIC_CD8_rest,Perturb-seq_CD8_rest_Rest
scPRINT2_CD8_rest,999,174,392
pySCENIC_CD8_rest,174,235,85
Perturb-seq_CD8_rest_Rest,392,85,409
